Cognateset_ID,Language_ID,Form,Description,Source
1818,Indo-Aryan,utpalyāṇa,<number>1818</number> *<b>utpalyāṇa</b> ʻ without saddle ʼ. [<smallcaps>palyāṇa</smallcaps> -- ],cdial
1819,Indo-Aryan,utpāṭa,"<number>1819</number> <b>utpāṭa</b> ʻ splitting off, pulling up by the roots ʼ lex., <i>utpāˊṭikā</i> -- f. ʻ external bark of a tree ʼ (which can be split off?) ŚBr. [√<smallcaps>paṭ</smallcaps><superscript>1</superscript>]",cdial
1820,Indo-Aryan,utpā́ta,"<number>1820</number> <b>utpāˊta</b> m. ʻ any sudden portent ʼ AV., ʻ flying up ʼ MBh. [√<smallcaps>pat</smallcaps>]",cdial
1821,Indo-Aryan,utpātaka,"<number>1821</number> <b>utpātaka</b> m. ʻ a kind of animal ʼ, <i>utpādaka</i> -- ʻ a fabulous animal Śarabha ʼ (= <i>ūrdhvapāda</i> -- ) lex., <i>utpādikā</i> -- f. ʻ a noxious insect ʼ, (Wilson Hār. 110) ʻ flea (?), white ant ʼ, <i>upādikā</i> -- f. (see <smallcaps>upadīˊka</smallcaps> -- ). [Poss. conn. or contam. with <smallcaps>útpatati</smallcaps> or <i>útpibati</i> ʻ drinks, sucks ʼ ŚBr., <i>utpiba</i>&lt;-&gt; ʻ drinking out ʼ Vop. -- Kal. points to orig. -- <i>t</i> -- ]",cdial
1822,Indo-Aryan,utpāda,"<number>1822</number> <b>utpāda</b><superscript>1</superscript> m. ʻ production, birth ʼ Yājñ., <i>˚aka</i> -- ʻ produc- tive ʼ Mn. [√<smallcaps>pad</smallcaps><superscript>1</superscript>]",cdial
1823,Indo-Aryan,utpāda,"<number>1823</number> <b>utpāda</b><superscript>2</superscript> ʻ having the legs stretched out, standing on the feet ʼ MW. [<smallcaps>pāˊda</smallcaps> -- ]",cdial
1824,Indo-Aryan,utpādya,<number>1824</number> <b>utpādya</b> ʻ to be produced ʼ Nyāyam. [√<smallcaps>pad</smallcaps><superscript>1</superscript>],cdial
1824a,Indo-Aryan,utpāhāḍa- ,<number>1824a</number> †*<b>utpāhāḍa -- </b> ʻ high hill ʼ? [*<smallcaps>pāhāḍa</smallcaps> -- ],cdial
1825,Indo-Aryan,utpitta,<number>1825</number> *<b>utpitta</b> ʻ having excess of bile ʼ. [<smallcaps>pittá</smallcaps> -- ],cdial
1826,Indo-Aryan,utpiṣṭa,"<number>1826</number> <b>utpiṣṭa</b> ʻ crushed, pounded ʼ MBh. [√<smallcaps>piṣ</smallcaps>]",cdial
1827,Indo-Aryan,útpunāti,<number>1827</number> <b>útpunāti</b> ʻ cleanses ʼ AV. [√<smallcaps>pū</smallcaps>],cdial
1828,Indo-Aryan,utpusati,<number>1828</number> *<b>utpusati</b> ʻ swells ʼ. [√<smallcaps>pus</smallcaps>],cdial
1829,Indo-Aryan,utpūyatē,<number>1829</number> *<b>utpūyatē</b> ʻ is cleansed ʼ. [Cf. <i>utpūta</i> -- AitBr. and <smallcaps>útpunāti: √pū</smallcaps>],cdial
1830,Indo-Aryan,útpūrayati,"<number>1830</number> <b>útpūrayati</b> ʻ fills up ʼ RV. (perf. opt. <i>útpupūryāḥ</i>). &amp;rcirclemacr Pk. <i>uppūra</i> -- m. ʻ very strong current ʼ; Si. <i>ipirenavā</i> ʻ to overflow, boil over ʼ.",cdial
1831,Indo-Aryan,utpr̥ṣṭha,<number>1831</number> *<b>utpr̥ṣṭha</b> ʻ upside down ʼ. [<smallcaps>pr̥ṣṭhá</smallcaps> -- ],cdial
1832,Indo-Aryan,utpruṣati,<number>1832</number> *<b>utpruṣati</b> ʻ bubbles up ʼ. [<i>utprúṣ</i> -- f. ʻ bubble ʼ VS.: √<smallcaps>pruṣ</smallcaps><superscript>1</superscript>],cdial
1833,Indo-Aryan,utpraidha,"<number>1833</number> *<b>utpraidha</b> ʻ rising up ʼ. [Cf. <i>ḗdhatē</i> ʻ increases ʼ RV., ʻ becomes insolent ʼ MBh., ʻ rises ʼ BhP., <i>praidhatē</i> Pāṇ. com. :√<smallcaps>ēdh</smallcaps>]",cdial
1834,Indo-Aryan,utplavatē,"<number>1834</number> <b>utplavatē</b> ʻ swims up ʼ Suśr., ʻ springs up ʼ Mn. 2. Caus. *<b>utplāvayati.</b> [Cf. 2 sg. aor. <i>utprōṣṭhāḥ</i> ʻ leapt ʼ ĀśvŚr. :√<smallcaps>plu</smallcaps>]",cdial
1835,Indo-Aryan,"utplavikā- ,","<number>1835</number> *<b>utplavikā -- ,</b> <i>utplavā</i> -- f. ʻ boat ʼ lex. [√<smallcaps>plu</smallcaps>]",cdial
1836,Indo-Aryan,utphaṇati,<number>1836</number> *<b>utphaṇati</b> ʻ springs up ʼ. 2. Caus. *<b>utphāṇayati.</b> [√*<smallcaps>phaṇ</smallcaps><superscript>2</superscript>],cdial
1837,Indo-Aryan,utphalati,"<number>1837</number> <b>utphalati</b> ʻ springs open, jumps out, bursts ʼ Bālar. 2. <b>utphālayati</b> ʻ opens wide ʼ MBh. [√<smallcaps>sphal</smallcaps><superscript>1</superscript>]",cdial
1838,Indo-Aryan,utphāṇa,<number>1838</number> *<b>utphāṇa</b> ʻ springing up ʼ. [√*<smallcaps>phaṇ</smallcaps><superscript>2</superscript>],cdial
1839,Indo-Aryan,utphāla,"<number>1839</number> <b>utphāla</b> m. ʻ leap, jump ʼ Kathās. [√<smallcaps>sphal</smallcaps><superscript>1</superscript>]",cdial
1840,Indo-Aryan,utphulla,"<number>1840</number> <b>utphulla</b> ʻ wide open ʼ Kāty., ʻ swollen, puffed up ʼ Kathās. [<smallcaps>phulla</smallcaps> -- ]",cdial
1841,Indo-Aryan,utphēnayati,<number>1841</number> *<b>utphēnayati</b> ʻ foams up ʼ. [<smallcaps>phḗna</smallcaps> -- ],cdial
1842,Indo-Aryan,ut- śakna,<number>1842</number> *<b>ut -- śakna</b> ʻ gone up ʼ. [√*<smallcaps>śak</smallcaps><superscript>2</superscript>],cdial
1843,Indo-Aryan,ut- śalati,"<number>1843</number> *<b>ut -- śalati</b> ʻ springs up ʼ. 2. <b>ucchalati</b> ʻ flies up, springs up ʼ Śiś. 3. *<b>ucchalyati.</b> [√<smallcaps>śal</smallcaps>]",cdial
1844,Indo-Aryan,ut- śānti,"<number>1844</number> *<b>ut -- śānti</b> ʻ rest, pause ʼ. [<smallcaps>śānti -- : √śam</smallcaps><superscript>1</superscript>]",cdial
1845,Indo-Aryan,ut- śārayati,"<number>1845</number> *<b>ut -- śārayati</b> ʻ breaks ʼ, cf. <i>śārayati</i> lex. 2. *<b>ut -- śr̥ta -- </b><superscript>1</superscript> ʻ broken ʼ. &amp;rcirclemacr 1. WPah. bhal. <i>uśārṇu</i> ʻ to throw out ʼ; Or. <i>uchāribā</i> ʻ to break down forcibly, scatter, throw away ʼ; Si. <i>ihirenavā</i>, <i>isi˚</i> ʻ to be scattered ʼ intr. formed from *<i>usuranavā</i> GS 84 (but wrongly &lt; <i>utsārayati</i>).",cdial
1846,Indo-Aryan,ut- śāla,<number>1846</number> *<b>ut -- śāla</b> ʻ leaping up ʼ. [√<smallcaps>śal</smallcaps>],cdial
1847,Indo-Aryan,ut- śālana,<number>1847</number> *<b>ut -- śālana</b> ʻ making leap up ʼ. [√<smallcaps>śal</smallcaps>],cdial
1848,Indo-Aryan,ut- śālayati,<number>1848</number> *<b>ut -- śālayati</b> ʻ causes to leap up ʼ. [√<smallcaps>śal</smallcaps>],cdial
1849,Indo-Aryan,ut- śiras,"<number>1849</number> *<b>ut -- śiras</b> ʻ pillow ʼ. [<i>ucchiras</i> -- ʻ with raised head ʼ Kālid., cf. *<smallcaps>ut -- śīrṣa -- : śíras</smallcaps> -- ]",cdial
1850,Indo-Aryan,ut- śiṣṭa- .,"<number>1850</number> *<b>ut -- śiṣṭa -- .</b> 2. <b>úcchiṣṭa -- </b> ʻ left over, stale, spat out ʼ TS., n. ʻ leavings ʼ AV. [<i>uñśiṣṭa</i> -- MaitrS. :√<smallcaps>śiṣ</smallcaps>]",cdial
1851,Indo-Aryan,ut- śiṣṭāvali,"<number>1851</number> *<b>ut -- śiṣṭāvali</b> ʻ line of leavings ʼ. [*<smallcaps>ut -- śiṣṭa -- , āvali</smallcaps> -- ]",cdial
1852,Indo-Aryan,ut- śīrṇa,<number>1852</number> *<b>ut -- śīrṇa</b> ʻ boiled ʼ. [Cf. <i>āˊśīrta</i> -- RV. :√<smallcaps>śrā</smallcaps>],cdial
1853,Indo-Aryan,"ut- śīrṣa- ,","<number>1853</number> *<b>ut -- śīrṣa -- ,</b> <i>ucchīrṣaka</i> -- m. ʻ one who has raised his head ʼ Suśr., n. ʻ pillow ʼ Mn. [Cf. *<i>ut -- śiras</i> -- : <smallcaps>śīrṣá</smallcaps> -- ]",cdial
1854,Indo-Aryan,ut- śuṣka,"<number>1854</number> *<b>ut -- śuṣka</b> ʻ dried up ʼ. [Cf. <i>ucchuṣka</i> -- ʻ withered ʼ Kathās., <i>ucchuṣyati</i> ʻ dries up ʼ ChUp., Pa. <i>ussussati</i>: √<smallcaps>śuṣ</smallcaps><superscript>1</superscript>]",cdial
1855,Indo-Aryan,ut- śuṣṭa,<number>1855</number> *<b>ut -- śuṣṭa</b> ʻ dry ʼ. [√<smallcaps>śuṣ</smallcaps>],cdial
1856,Indo-Aryan,ut- śr̥ṅga,<number>1856</number> *<b>ut -- śr̥ṅga</b> ʻ having upright horns ʼ. [Cf. <i>ucchr̥ṅgita</i>- Śiś.: <smallcaps>śŕ̊ṅga</smallcaps> -- ],cdial
1857,Indo-Aryan,ut- śr̥ta,<number>1857</number> *<b>ut -- śr̥ta</b><superscript>2</superscript> ʻ boiled ʼ. [Cf. <i>śr̥tá</i> -- ʻ cooked ʼ RV.: √<smallcaps>śrā</smallcaps>],cdial
1857a,Indo-Aryan,"ut- śrayaṇa- ,","<number>1857a</number> †*<b>ut -- śrayaṇa -- ,</b> <i>ucchrayaṇa</i> -- n. ʻ raising, erecting ʼ KātyŚr. (cf. <i>ucchraya</i> -- m. ʻ height of tree or mountain etc. ʼ MBh.). [√<smallcaps>śri</smallcaps>]",cdial
1858,Indo-Aryan,"ut- śrayati,","<number>1858</number> *<b>ut -- śrayati,</b> <i>úcchrayati</i> ʻ raises ʼ, <i>˚tē</i> ʻ rises ʼ RV. 2. *<b>ut- śrāpayati,</b> <i>ucchrāpayati</i> ʻ raises ʼ VS. 3. *<b>ut -- śrāpaṇa -- .</b> [√<smallcaps>śri</smallcaps>]",cdial
1859,Indo-Aryan,ut- śrāṇa,<number>1859</number> *<b>ut -- śrāṇa</b> ʻ boiled ʼ. [Cf. <i>śrāṇa</i> -- Pāṇ.: √<smallcaps>śrā</smallcaps>],cdial
1860,Indo-Aryan,"ut- śrāya- ,","<number>1860</number> *<b>ut -- śrāya -- ,</b> <i>ucchrāyīˊ</i> -- f. ʻ raised piece of wood ʼ, <i>˚ya</i> -- m. ʻ elevation, height ʼ, <i>ucchraya</i> -- m. Yājñ. [Cf. <i>samucchraya</i> -- m., Pa. <i>samussaya</i> -- m. ʻ accumulation ʼ: √<smallcaps>śri</smallcaps>]",cdial
1861,Indo-Aryan,ut- śrāyati,"<number>1861</number> *<b>ut -- śrāyati</b> intr. ʻ boils ʼ. 2. *<b>ut -- śrapayati</b> tr. ʻ boils ʼ 3. *<b>utśrāta -- .</b> [<i>śrāˊyati</i> Dhātup., <i>śrātá</i> -- RV., <i>śrapáyati</i> AV.: √<smallcaps>śrā</smallcaps>]",cdial
1862,Indo-Aryan,"ut- śrita- ,","<number>1862</number> *<b>ut -- śrita -- ,</b> <i>úcchrita</i> -- ʻ raised ʼ ŚBr. [√<smallcaps>śri</smallcaps>]",cdial
1863,Indo-Aryan,ut- śrīṇāti,<number>1863</number> *<b>ut -- śrīṇāti</b> ʻ boils ʼ. [Cf. <i>śrīṇāˊti</i> ʻ cooks ʼ Dhātup.: √<smallcaps>śrā</smallcaps>],cdial
1864,Indo-Aryan,"ut- śrīyatē1,","<number>1864</number> *<b>ut -- śrīyatē<superscript>1</superscript>,</b> <i>úcchrīyatē</i> ʻ is raised ʼ ŚBr. [√<smallcaps>śri</smallcaps>]",cdial
1865,Indo-Aryan,ut- śrīyatē,<number>1865</number> *<b>ut -- śrīyatē</b><superscript>2</superscript> ʻ is boiled ʼ. [√<smallcaps>śrā</smallcaps>],cdial
1866,Indo-Aryan,"ut- śvasiti,","<number>1866</number> *<b>ut -- śvasiti,</b> <i>ucchvasiti</i> ʻ takes a deep breath ʼ Gobh. 2. *<b>ut -- śvāsayati,</b> <i>ucchvāsayati</i> ʻ causes to breathe again, gladdens, raises ʼ BhP. [√<smallcaps>śvas</smallcaps><superscript>1</superscript>]",cdial
1867,Indo-Aryan,ut- śvāyati,"<number>1867</number> *<b>ut -- śvāyati</b> ʻ swells up ʼ. 2. caus. *<b>ut -- śvāyayati</b> 3. *<b>ut -- śvāta -- </b> ʻ swollen ʼ. [Cf. <i>ucchūna</i> -- ʻ swollen ʼ, <i>śváyati</i> ʻ swells ʼ ŚBr., caus. <i>śvāyayati</i>: √<smallcaps>śvi</smallcaps>]",cdial
1868,Indo-Aryan,"ut- śvāsa- ,","<number>1868</number> *<b>ut -- śvāsa -- ,</b> <i>ucchvāsá</i> -- m. ʻ froth ʼ RV., ʻ deep breath ʼ KātyŚr. [√<smallcaps>śvas</smallcaps><superscript>1</superscript>]",cdial
1869,Indo-Aryan,útsa,<number>1869</number> <b>útsa</b> m. ʻ spring of water ʼ RV. 2. <b>utsíya -- </b> (<i>utsyà</i> -- ) ʻ coming from a spring (of water) ʼ AV. [√<smallcaps>ud</smallcaps><superscript>2</superscript>].,cdial
1870,Indo-Aryan,utsaṅga,"<number>1870</number> <b>utsaṅga</b> m. ʻ haunch, part above the hips, lap ʼ MBh. [√<smallcaps>sañj</smallcaps>]",cdial
1871,Indo-Aryan,útsadati,"<number>1871</number> <b>útsadati</b> ʻ sits up, rises ʼ RV. 2. ʻ sinks ʼ TS. [√<smallcaps>sad</smallcaps>]",cdial
1872,Indo-Aryan,utsadhānī,"<number>1872</number> *<b>utsadhānī</b> ʻ spring of water ʼ. [Cf. <i>utsadhí</i> -- ʻ re- ceptacle of a spring ʼ RV. and *<smallcaps>udadhānī -- : útsa -- , dhāˊna</smallcaps> -- ]",cdial
1873,Indo-Aryan,útsanna,"<number>1873</number> <b>útsanna</b> ʻ raised ʼ Suśr. 2. ʻ sunk, destroyed ʼ ŚBr. [√<smallcaps>sad</smallcaps>. -- Poss. collides with *<i>ut -- śanna</i> -- in <i>ucchanna</i>-&lt;-&gt; ʻ destroyed ʼ Suśr.: √<smallcaps>sad</smallcaps>]",cdial
1874,Indo-Aryan,útsarati,"<number>1874</number> <b>útsarati</b> ʻ hastens away, escapes ʼ AV. 2. ʻ *rises ʼ, cf. <i>utsaraṇa</i> -- n. ʻ going up ʼ lex., <smallcaps>utsr̥ta</smallcaps> -- ʻ high ʼ Hariv. [√<smallcaps>sr̥</smallcaps>]",cdial
1875,Indo-Aryan,útsarpati,"<number>1875</number> <b>útsarpati</b> ʻ creeps out, rises, soars ʼ AV. [√<smallcaps>sr̥p</smallcaps>]",cdial
1876,Indo-Aryan,utsavá,"<number>1876</number> <b>utsavá</b> m. ʻ enterprise ʼ RV., ʻ festival ʼ MBh. [√<smallcaps>sū</smallcaps>]",cdial
1877,Indo-Aryan,utsavati,<number>1877</number> *<b>utsavati</b> ʻ rises ʼ. [Cf. <i>utsuvati</i> ʻ causes to go up ʼ Kāṭh.: √<smallcaps>sū</smallcaps>],cdial
1878,Indo-Aryan,útsahatē,"<number>1878</number> <b>útsahatē</b> ʻ endures ʼ ŚBr., ʻ is able ʼ MBh. [√<smallcaps>sah</smallcaps>]",cdial
1879,Indo-Aryan,utsā́dana,"<number>1879</number> <b>utsāˊdana</b> n. ʻ putting away ʼ ŚBr., ʻ causing to fill up ʼ Suśr., ʻ raising ʼ lex. [√<smallcaps>sad</smallcaps>]",cdial
1880,Indo-Aryan,utsāra,"<number>1880</number> *<b>utsāra</b> ʻ going out ʼ, <i>utsāraka</i> -- m. ʻ porter ʼ lex. 2. ʻ rising, raising ʼ. [√<smallcaps>sr̥</smallcaps>]",cdial
1881,Indo-Aryan,utsārayati,<number>1881</number> <b>utsārayati</b> ʻ causes to come out ʼ MBh. 2. ʻ *raises ʼ. [√<smallcaps>sr̥</smallcaps>],cdial
1882,Indo-Aryan,utsāha,"<number>1882</number> <b>utsāha</b> m. ʻ power, firmness ʼ Mn., ʻ joy ʼ Vet. [√<smallcaps>sah</smallcaps>]",cdial
1883,Indo-Aryan,útsiñcati,<number>1883</number> <b>útsiñcati</b> ʻ causes to flow over ʼ RV. 2. Caus. <b>utsē- cayati.</b> [√<smallcaps>sic</smallcaps>],cdial
1884,Indo-Aryan,utsidhyati,<number>1884</number> *<b>utsidhyati</b> ʻ cooks ʼ. [√<smallcaps>sidh</smallcaps><superscript>2</superscript>],cdial
1885,Indo-Aryan,utsīvayati,<number>1885</number> *<b>utsīvayati</b> ʻ unsews ʼ. 2. Pass. *<b>utsīvyatē.</b> [But <i>utsyūtá</i> -- ʻ sewn up ʼ TS.: √<smallcaps>siv</smallcaps>],cdial
1886,Indo-Aryan,utsukya,"<number>1886</number> *<b>utsukya</b> ʻ eagerness ʼ. [Cf. <i>utsuka</i> -- ʻ anxious, eager ʼ MBh., Pa. <i>ussuka</i> -- ʻ eager ʼ, NiDoc. &amp;gacute -- , Pk. <i>ucchua</i> -- , <i>ussuga</i> -- , <i>ōsua</i> -- ; <i>autsukya</i> -- n. ʻ longing for ʼ MBh., NiDoc. <i>osukya</i> -- . Pa. <i>uss</i> -- regularly &lt; <i>ut -- s</i> -- contradicts the theory of Wackernagel and Debrunner KZ 67, 155 f., accepted by EWA i 9, of hypersanskritism &lt; MIA. *<i>icchua</i> -- (cf. Sk. Pk. <i>icchu</i> -- ). -- If not conn. <i>suvatē</i>, <i>sutá</i> -- ʻ incited ʼ ŚBr., it may rather be sanskritization of MIA. <i>ussua</i> -- , <i>ucchua</i> -- &lt; *<i>ut -- śuka</i> -- cf. <i>ucchōcáyant</i>&lt;-&gt; ʻ inflaming ʼ AV. (J. C. Wright). -- √<smallcaps>sū</smallcaps> or √<smallcaps>śuc</smallcaps>]",cdial
1886a,Indo-Aryan,utsupna- ,<number>1886a</number> †*<b>utsupna -- </b> ʻ wakefulness ʼ. [Cf. <i>utsvapna</i> -- ʻ starting out of sleep ʼ lex. ~ <smallcaps>utsvapnāyatē</smallcaps>],cdial
1887,Indo-Aryan,utsumbhati,"<number>1887</number> *<b>utsumbhati</b> ʻ sobs chokingly ʼ. [<i>subhnāˊti</i> ʻ chokes ʼ TS., <i>sumbhati</i> Kāṭh.: √<smallcaps>subh</smallcaps>]",cdial
1888,Indo-Aryan,utsūra,<number>1888</number> <b>utsūra</b> m. ʻ evening ʼ lex. [<smallcaps>svàr</smallcaps> -- ],cdial
1889,Indo-Aryan,utsr̥ta,"<number>1889</number> <b>utsr̥ta</b> ʻ *moved away ʼ. 2. ʻ raised, high ʼ Hariv. [√<smallcaps>sr̥</smallcaps>]",cdial
1890,Indo-Aryan,utsr̥ṣṭa,"<number>1890</number> <b>utsr̥ṣṭa</b> ʻ let loose, abandoned ʼ MBh. [<i>útsr̥jati</i> ʻ lets loose ʼ RV., Pa. <i>ussajjati</i>: √<smallcaps>sr̥j</smallcaps>]",cdial
1891,Indo-Aryan,utsōḍhi,<number>1891</number> *<b>utsōḍhi</b> ʻ effort ʼ. [Cf. <smallcaps>utsāha</smallcaps> -- and <i>sōḍha</i> -- MBh.: √<smallcaps>sah</smallcaps>],cdial
1892,Indo-Aryan,utskadati,<number>1892</number> *<b>utskadati</b> ʻ jumps up ʼ. [Cf. <i>utkandati</i> ʻ springs away ʼ Pāṇ. com.: √<smallcaps>skand</smallcaps>],cdial
1893,Indo-Aryan,utskara,"<number>1893</number> *<b>utskara</b> ʻ digging out ʼ. 2. *<b>utskala -- </b>, &amp;rcirclemacr &amp;rcirclemacr 1. K. <i>wŏkhur</i> m. ʻ overturning ʼ; M. <i>ukhrī</i> f. ʻ scale, scab ʼ.",cdial
1894,Indo-Aryan,utskaraṇa,<number>1894</number> *<b>utskaraṇa</b> ʻ digging out ʼ. &amp;rcirclemacr &amp;rcirclemacr G. <i>ukharṇũ</i> n. ʻ disclosing the secrets of others ʼ. <p></p>,cdial
1895,Indo-Aryan,utskarati,"<number>1895</number> *<b>utskarati</b> ʻ digs out ʼ. 2. *<b>utskalati</b>. 3. Caus. *<b>utskā- rayati.</b> 4. *<b>utskālayati.</b> 5. *<b>utskr̥ta -- .</b> &amp;rcirclemacr &amp;rcirclemacr 1. K. <i>wŏkharun</i> ʻ to turn upside down (e.g. in poking coals in a brazier) ʼ; Or. <i>ukhuribā</i> ʻ to poke, stir up ʼ; M. <i>ukharṇẽ</i> ʻ to scratch up, loosen or detach from ʼ.",cdial
1896,Indo-Aryan,utskartati,"<number>1896</number> *<b>utskartati</b> ʻ cuts out ʼ. 2. *<b>utskr̥tta -- .</b> [√*<smallcaps>skr̥t<superscript>1</superscript>, √kr̥t</smallcaps><superscript>1</superscript>]",cdial
1897,Indo-Aryan,ut- stambha,"<number>1897</number> *<b>ut -- stambha</b> ʻ support ʼ. [Cf. <i>údastambhīt</i> RV., Pk. <i>uṭṭhaṁbhaï</i> ʻ supports ʼ: √<smallcaps>stambh</smallcaps>]",cdial
1898,Indo-Aryan,ut- str̥ta,<number>1898</number> *<b>ut -- str̥ta</b> ʻ spread out ʼ. [√<smallcaps>str̥</smallcaps>],cdial
1899,Indo-Aryan,ut- sthala,<number>1899</number> *<b>ut -- sthala</b> ʻ shallow ʼ. [<smallcaps>sthala</smallcaps> -- ],cdial
1900,Indo-Aryan,ut- sthāti,"<number>1900</number> *<b>ut -- sthāti</b> ʻ stands up ʼ. 2. Reformed as *<b>utthāti.</b> [<i>úttiṣṭhati</i>, <i>udásthāt</i> RV.; pres. -- *<i>sthāti</i> formed after -- <i>sthā</i> -- in aor., fut., inf., and ger.: √<smallcaps>sthā</smallcaps>]",cdial
1901,Indo-Aryan,ut- sthāna,"<number>1901</number> *<b>ut -- sthāna</b> ʻ act of rising ʼ. 2. Reformed as <b>utthāˊna-</b> n. ŚBr, ʻ starting on an expedition ʼ Mn., ʻ manly effort ʼ MBh. [√<smallcaps>sthā</smallcaps>]",cdial
1902,Indo-Aryan,"ut- sthāpana- ,","<number>1902</number> *<b>ut -- sthāpana -- ,</b> <i>utthāpana</i> -- n. ʻ causing to rise, lifting ʼ KātyŚr. [√<smallcaps>sthā</smallcaps>]",cdial
1903,Indo-Aryan,ut- sthāpayati,<number>1903</number> *<b>ut -- sthāpayati</b> ʻ raises ʼ. 2. Reformed as <b>útthāpayati</b> AV. [√<smallcaps>sthā</smallcaps>],cdial
1904,Indo-Aryan,ut- sthāpyatē,"<number>1904</number> *<b>ut -- sthāpyatē</b> ʻ is raised ʼ. [<i>utthāpya</i> -- ʻ to be raised, to be sent away ʼ AitBr.: √<smallcaps>sthā</smallcaps>]",cdial
1905,Indo-Aryan,ut- sthāmayati,<number>1905</number> *<b>ut -- sthāmayati</b> ʻ removes ʼ. [<smallcaps>sthāˊman</smallcaps> -- ],cdial
1906,Indo-Aryan,ut- sthāla,<number>1906</number> *<b>ut -- sthāla</b> ʻ socket ʼ. [<smallcaps>sthālīˊ</smallcaps> -- ],cdial
1907,Indo-Aryan,ut- sthita,<number>1907</number> *<b>ut -- sthita</b> ʻ arisen ʼ. 2. Reformed as <b>útthita -- </b> RV. [√<smallcaps>sthā</smallcaps>],cdial
1908,Indo-Aryan,ut- spanda,<number>1908</number> *<b>ut -- spanda</b> ʻ jumping up ʼ. [√<smallcaps>spand</smallcaps>],cdial
1909,Indo-Aryan,ut- spandati,<number>1909</number> *<b>ut -- spandati</b> ʻ jumps up ʼ. 2. Caus. *<b>ut -- spandayati.</b> [√<smallcaps>spand</smallcaps>],cdial
1910,Indo-Aryan,ut- sphaṭati,<number>1910</number> *<b>ut -- sphaṭati</b> ʻ bursts out ʼ. [√<smallcaps>sphaṭ</smallcaps>],cdial
1911,Indo-Aryan,ut- spharati,<number>1911</number> *<b>ut -- spharati</b> ʻ is abundant ʼ. [√<smallcaps>sphar</smallcaps><superscript>2</superscript>],cdial
1911a,Indo-Aryan,ut- sphalati,<number>1911a</number> *<b>ut -- sphalati</b> Add. 14310. <p></p>,cdial
1912,Indo-Aryan,ut- sphāyatē,<number>1912</number> *<b>ut -- sphāyatē</b> ʻ swells up ʼ. [√<smallcaps>sphāy</smallcaps>],cdial
1913,Indo-Aryan,ut- sphāra,<number>1913</number> *<b>ut -- sphāra</b> ʻ abundance ʼ. [<smallcaps>sphāra</smallcaps> -- ],cdial
1913a,Indo-Aryan,ut- sphārayati,<number>1913a</number> *<b>ut -- sphārayati</b><superscript>1</superscript> ʻ jerks up ʼ. [√<smallcaps>sphar</smallcaps><superscript>1</superscript>] Add. 14311.,cdial
1914,Indo-Aryan,ut- sphārayati,<number>1914</number> *<b>ut -- sphārayati</b> ʻ makes abundant ʼ. [√<smallcaps>sphar</smallcaps><superscript>2</superscript>],cdial
1914a,Indo-Aryan,ut- sphāla- ,<number>1914a</number> *<b>ut -- sphāla -- </b><superscript>2</superscript> ʻ abundance ʼ. [√<smallcaps>sphal</smallcaps><superscript>2</superscript>] Add. 14312. <p></p>,cdial
1914b,Indo-Aryan,ut- sphālayati,<number>1914b</number> *<b>ut -- sphālayati</b> Add. 14313.,cdial
1915,Indo-Aryan,ut- sphiṭyatē,"<number>1915</number> *<b>ut -- sphiṭyatē</b> ʻ is hurt ʼ. [Cf. <i>sphiṭṭayati</i>, <i>sphēṭay˚</i> ʻ hurts ʼ Dhātup., Pk. <i>upphiḍa</i> -- ʻ blunt, weak ʼ, <i>upphiḍaï</i> ʻ becomes so ʼ: √<smallcaps>sphiṭ</smallcaps>]",cdial
1916,Indo-Aryan,ut- sphurati,<number>1916</number> *<b>ut -- sphurati</b> ʻ jumps up ʼ. [√<smallcaps>sphur</smallcaps>],cdial
1917,Indo-Aryan,ut- sphūrjati,"<number>1917</number> *<b>ut -- sphūrjati</b> ʻ rumbles ʼ. [Cf. <i>ávasphūrjati</i> ʻ thunders ʼ VS. ŚBr., ʻ snorts ʼ MBh.: √<smallcaps>sphūrj</smallcaps>]",cdial
1918,Indo-Aryan,utsvapnāyatē,<number>1918</number> <b>utsvapnāyatē</b> ʻ talks in one's sleep ʼ Mr̥cch. [<smallcaps>svápna -- : √svap</smallcaps><superscript>1</superscript>],cdial
1919,Indo-Aryan,utsvāpa,<number>1919</number> *<b>utsvāpa</b> ʻ talking in sleep ʼ. [√<smallcaps>svap</smallcaps><superscript>1</superscript>],cdial
1920,Indo-Aryan,utsvēda,<number>1920</number> *<b>utsvēda</b> ʻ sweat ʼ. [√<smallcaps>svid</smallcaps>],cdial
1921,Indo-Aryan,udaká,"<number>1921</number> <b>udaká</b> n. ʻ water ʼ. RV. 2. <b>daka -- </b> n. Suśr., BHSk. [<smallcaps>udán -- : √ud</smallcaps><superscript>2</superscript>]",cdial
1922,Indo-Aryan,udakakṣāra,"<number>1922</number> *<b>udakakṣāra</b> ʻ waterfall ʼ. [<smallcaps>udaká -- , kṣāra</smallcaps> -- <superscript>2</superscript>]",cdial
1923,Indo-Aryan,udaṅkākāra,"<number>1923</number> *<b>udaṅkākāra</b> ʻ curviform ʼ. [*<smallcaps>udaṅka -- , ākāra</smallcaps> -- ]",cdial
